"Title","Movie Release Year","Running Time","Genre","Director","Country","Front Cover","Trailer URLs","Format","IMDb Rating","Location","Musician","Writer","Actor","Audience Rating","Audio Tracks","Extras","Features","Movie Release Date","Plot","Producer","Release Date","Release Year","Back Cover","Backdrop","Barcode","Box set","Chapters","Cinematography","Distributor","Edition","Episodes","Extra Features"
"2 Days In The Valley","1996","104 mins","Action; Drama; Thriller","John Herzfeld","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\2DaysInTheValley199628107_f.jpg","http://www.youtube.com/watch?v=WP-SG4Q038M","DVD","6.4","","","John Herzfeld","Danny Aiello as Dosmo Pizzo; Greg Cruttwell as Allan Hopper; Jeff Daniels as Alvin Strayer; Teri Hatcher as Becky Foxx; Glenne Headly as Susan Parish; Peter Horton as Roy Foxx; Marsha Mason as Audrey Hopper; Paul Mazursky as Teddy Peppers; James Spader as Lee Woods; Eric Stoltz as Wes Taylor","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; Dolby Digital Surround [French]","","","1996","John Herzfeld deftly welds together a multitude of subplots-- a loser hitman and a cool assassin involved in an insurance scam; a washed-up director, turned suicidal, if only he had someone to care for his beloved dog; a snooty art dealer, wracked by kidney stones, cared for by his devoted assistant; a grungy deranged vice cop, now partnered with a fresh-faced rookie; and two beautiful and jealous","Jim Burke; Herb Nanas","8/7/2001","2001","C:\Users\zerom_000\Documents\Movie Collector\Images\2DaysInTheValley199628107_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\2DaysInTheValley199628107_d.jpg","026359130328","","0","","HBO Home Video","","0","Cast Interviews Scene Selection / Access Theatrical Trailers / Teasers"
"2 Fast 2 Furious","2003","108 mins","Adventure; Thriller; Crime; Action","John Singleton","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\2Fast2Furious200319715_f.jpg","http://www.youtube.com/watch?v=gyLQ0m9IYLs","DVD","5.2","","David Arnold","Gary Scott Thompson; Michael Brandt","Paul Walker as Brian O'Conner; Tyrese Gibson as Roman Pearce; Cole Hauser as Carter Verone; Ludacris as Tej; Devon Aoki as Suki; Eva Mendes as Monica Fuentes; James Remar as Agent Markham; John Cenatiempo as Korpi; Corey Michael Eubanks as Max Campisi; Thom Barry as Agent Bilkins; Amaury Nolasco as Orange Julius; Michael Ealy as Slap Jack; Jin Auyeung as Jimmy; Edward Finlay as Agent Dunn; Mark Boone Junior as Detective Whitworth","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [Spanish]; Dolby Digital 5.1 [English (Closed Captioned)]","","","2003","Brain O'Conner (Paul Walker) runs from LA, ensuing criminal actions from the previous Fast and the Furious installment. He runs to Miami where he earns money and respect by street racing. However, he is caught by the police. Agent Bilkins, another familiar face from the first movie, offers Brian a deal. Rather than going to jail he can go undercover, working for Carter Verone. Verone is a drug lord with a high bankroll. Brian accepts under the pretence that he can pick his own partner. He travels back to his (assumably) once home and recruits childhood friend Roman Pierce (Tyrese). O'Conner and Pierce work with Monica Clemente (Eva Mendes) to try and bring down Verone.","Lee R. Mayes; Neal H. Moritz","9/30/2003","2003","C:\Users\zerom_000\Documents\Movie Collector\Images\2Fast2Furious200319715_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\2Fast2Furious200319715_d.jpg","025192297526","","0","Matthew F. Leonetti","Universal Studios","","0","Supercharged Stunts Thrilling Deleted Scenes Making Music with Ludacris Inside 2 Fast 2 Furious Feature Commentary with Director John Singleton 'Did You Know That?' Animated Anecdotes The Fast and the Furious Video Game Sneak Peek Driving School with the Cast Tricking Out a Hot Import Car"
"2 Guns","2013","","Drama; Crime; Action","Baltasar Kormákur","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\2Guns201340484_f.jpg","http://www.youtube.com/watch?v=dVNe3RK2fgI","Blu-ray Disc","6.9","","","","Mark Wahlberg as Stig; Denzel Washington as Bobby; James Marsden as Quince; Bill Paxton as Earl; Paula Patton as Deb; Edward James Olmos as Papi Greco; Robert John Burke; Tait Fletcher as Mini; Fred Ward; Alexandria Deberry as Margie","","","","","2013","A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.","Marc Platt; Norton Herrick","","","","C:\Users\zerom_000\Documents\Movie Collector\Images\2Guns201340484_d.jpg","025192167782","","0","","","","0",""
"3 Days To Kill","2014","113 mins","Drama; Thriller; Crime; Action","McG","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\3DaysToKill201442190_f.jpg","http://www.youtube.com/watch?v=TbXfZlD2eNk; http://www.youtube.com/watch?v=J9q8qndzEKs","DVD","7.0","","Guillaume Roussel","Luc Besson; Adi Hasak","Marc Andréoni as Mitat Yilmaz; Bruno Ricci as Guido; Jonas Bloquet as Hugh","PG-13 (Parents Strongly Cautioned)","DTS [English]","","","2014","A dying Secret Service Agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.","Luc Besson; Virginie Silla","5/20/2014","2014","C:\Users\zerom_000\Documents\Movie Collector\Images\3DaysToKill201442190_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\3DaysToKill201442190_d.jpg","024543909552","","0","Thierry Arbogast","20th Century Fox","2 Disc Blu-Ray DVD Digital Copy Combo","0","The Making Of 3 Days To Kill McG's Method Covert Operation DVD Of Feature Film"
"3:10 To Yuma","2007","117 mins","Western; Crime; Action","James Mangold","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\310ToYuma200727218_f.jpg","http://www.youtube.com/watch?v=a1I7QQcXokY","DVD","7.9","","Marco Beltrami","Michael Brandt; Derek Haas","Russell Crowe as Ben Wade; Christian Bale as Dan Evans; Logan Lerman as William Evans; Dallas Roberts as Grayson Butterfield; Ben Foster as Charlie Prince; Peter Fonda as Byron McElroy; Vinessa Shaw as Emma Nelson; Alan Tudyk as Doc Potter; Luce Rains as Marshal Weathers; Gretchen Mol as Alice Evans; Lennie Loftin as Glen Hollander; Rio Alexander as Campos; Johnny Whitworth as Darden; Shawn Howell as Jackson; Pat Ricotti as Jorgensen","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 EX [English]","","","2007","In Arizona in the late 1800's, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the '3:10 to Yuma', a train that will take the killer to trial.","Cathy Konrad; Dixie J. Capp","1/8/2008","2008","","C:\Users\zerom_000\Documents\Movie Collector\Images\310ToYuma200727218_d.jpg","031398221869","","0","Phedon Papamichael","Lions Gate","","0","Audio Commentary with Director James Mangold Destination Yuma - Making-of Documentary An Epic Explored Featurette Outlaws, Gangs And Posses Documentary Deleted Scenes"
"The 6th Day","2000","123 mins","Science Fiction; Thriller; Action","Roger Spottiswoode","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\The6thDay200022478_f.jpg","http://www.youtube.com/watch?v=gXdru_rLBfw","DVD","5.8","","Trevor Rabin","Marianne Wibberley; Cormac Wibberley","Arnold Schwarzenegger as Adam Gibson; Wendy Crewson as Natalie Gibson; Tony Goldwyn as Michael Drucker; Michael Rapaport as Hank Morgan; Michael Rooker as Robert Marshall; Sarah Wynter as Talia Elsworth; Terry Crews as Vincent; Colin Cunningham as Tripp; Rodney Rowland as P. Wiley; Robert Duvall as Dr. Griffin Weir; Wanda Cannon as Katherine Weir; Steve Bacic as Johnny Phoenix; Rod Rowland as Wiley; Taylor-Anne Reid as Clara Gibson; Mark Brandon as RePet Spokesman","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital Stereo [French]; Dolby Digital Surround [English]","","","2000","Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.","Arnold Schwarzenegger; Mike Medavoy","3/27/2001","2001","C:\Users\zerom_000\Documents\Movie Collector\Images\The6thDay200022478_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\The6thDay200022478_d.jpg","043396050747","","0","Pierre Mignot","Sony Pictures","","0","Audio Commentary by Composer Trevor Rabin with Isolated Music Score RePet Infomercial and TV Spot Theatrical Trailers Production Notes Talent Files Animated Menus Scene Selections"
"7 Seconds","2005","96 mins","Thriller; Crime; Action","Simon Fellows","UK","C:\Users\zerom_000\Documents\Movie Collector\Images\7Seconds200516232_f.jpg","http://www.youtube.com/watch?v=y8FtljnFTpg","DVD","4.7","","Barry Taylor","Martin Wheeler","Wesley Snipes as Jack Tuliver; Tamzin Outhwaite as Sgt. Kelly Anders; Deobia Oparei as Spanky; Georgina Rylance as Suza; Pete Lee-Wilson as Alexsie Kutchinov; Serge Soric as Mikhail; Andrei Ionescu as Frank Mercea; Elias Ferkin as Pro 1; Bogdan Farkas as Pro 2; Tomi Cristin as Captain Szabo; Adrian Lukis as Vanderbrink; Stephen Boxer as Underhill; Adrian Pintea as Grapini; Corey Johnson as Tool; George Anton as Banner","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [German]; Dolby Digital 5.1 [Portuguese]; Dolby Digital 5.1 [Thai]; Dolby Digital Surround; Dolby Digital Surround [French]; Dolby Digital Surround [Spanish]","","","2005","When an experienced thief accidentally makes off with a Van Gogh, his partner is kidnapped by gangsters in pursuit of the painting, forcing the criminal to hatch a rescue plan.","Pierre Spengler; Andrew Stevens","6/28/2005","2005","","C:\Users\zerom_000\Documents\Movie Collector\Images\7Seconds200516232_d.jpg","9317731048357","","0","Simon Fellows","Sony Pictures","","0","Color Widescreen Dolby"
"10,000 Bc","2008","109 mins","Adventure; Romance","Roland Emmerich","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\10000Bc20081818_f.jpg","http://www.youtube.com/watch?v=25kMKl1oI_c","Blu-ray Disc","4.9","","","Roland Emmerich; Harald Kloser","Steven Strait as D'Leh; Camilla Belle as Evolet; Cliff Curtis as Tic'Tic; Joel Virgel as Nakudu; Affif Ben Badra as Warlord; Mo Zinal as Ka'Ren; Nathanael Baring as Baku; Mona Hammond as Old Mother; Marco Khan as One-Eye; Reece Ritchie as Moha; Joel Fry as Lu'kibu; Omar Sharif as Narrator; Kristian Beazley as Ds Father; Farouk Valley-Omar as High Priest; Joe Vaz as Chief of Gaurds","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; Dolby Digital 5.1 [Spanish]","","","2008","A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.","William Fay; Tom Karnowski","6/24/2008","2008","C:\Users\zerom_000\Documents\Movie Collector\Images\10000Bc20081818_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\10000Bc20081818_d.jpg","085391139676","","0","","Warner Home Video","Blue Ray","0","A Wild And Wooly Ride - Bringing Prehistory to Vivid Screen Life from Pyramids to Period Animals.Inspiring An Epic - How Real History Influenced Story and Design ElementsExciting Alternate EndingAwesome Additional Scenes"
"12 Monkeys","1995","129 mins","Adventure; Science Fiction","Terry Gilliam","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\12Monkeys1995894_f.jpg","http://www.youtube.com/watch?v=82BlPBR7-Ow","HD-DVD","8.1","","Paul Buckmaster","Chris Marker; David Webb Peoples","Bruce Willis as James Cole; Brad Pitt as Jeffrey Goines; Madeleine Stowe as Dr. Kathryn Railly; Anthony Brienza as Dr. Goodin; Vernon Campbell as Tiny; Jann Ellis as Marilou; Frank Gorshin as Dr. Fletcher; Michael Chance as Scarface; Joseph Melito as Young Cole; Aaron Michael Lacey as WWI Sergeant; David Morse as Dr. Peters; Robert O'Neill as Wayne; Joey Perillo as Detective Franki; Christopher Plummer as Dr. Leland Goines; Jon Seda as Jose","R (Restricted)","DTS 5.1 [English]","","","1995","In the year 2035, convict James Cole volunteers reluctantly to be sent back in time by scientists to discover the origin of a deadly virus that wiped out nearly all of the earth's population decades earlier. But when Cole is sent mistakenly to 1990 instead of 1996, he's arrested and locked up in a mental hospital, where he meets a psychiatrist and the son of a famous virus expert.","Charles Roven; Gary Levinsohn","10/24/2006","2006","C:\Users\zerom_000\Documents\Movie Collector\Images\12Monkeys1995894_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\12Monkeys1995894_d.jpg","025192778025","","0","Roger Pratt","Universal Studios","","0","Feature Commentary with Director Terry Gilliam & Producer Charles Roven The Hamster Factor & Other Tales of 12 Monkeys Theatrical Trailer 12 Monkeys Archives"
"12 Monkeys","1995","129 mins","Adventure; Science Fiction","Terry Gilliam","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\12Monkeys199522728_f.jpg","http://www.youtube.com/watch?v=82BlPBR7-Ow","DVD","8.1","","Paul Buckmaster","Chris Marker; David Webb Peoples","Bruce Willis as James Cole; Brad Pitt as Jeffrey Goines; Madeleine Stowe as Dr. Kathryn Railly; Anthony Brienza as Dr. Goodin; Vernon Campbell as Tiny; Jann Ellis as Marilou; Frank Gorshin as Dr. Fletcher; Michael Chance as Scarface; Joseph Melito as Young Cole; Aaron Michael Lacey as WWI Sergeant; David Morse as Dr. Peters; Robert O'Neill as Wayne; Joey Perillo as Detective Franki; Christopher Plummer as Dr. Leland Goines; Jon Seda as Jose","R (Restricted)","DTS 5.1 [English]; Dolby Digital Surround [English]","","","1995","In the year 2035, convict James Cole volunteers reluctantly to be sent back in time by scientists to discover the origin of a deadly virus that wiped out nearly all of the earth's population decades earlier. But when Cole is sent mistakenly to 1990 instead of 1996, he's arrested and locked up in a mental hospital, where he meets a psychiatrist and the son of a famous virus expert.","Charles Roven; Gary Levinsohn","3/16/1999","1999","C:\Users\zerom_000\Documents\Movie Collector\Images\12Monkeys199522728_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\12Monkeys199522728_d.jpg","025192046223","","0","Roger Pratt","Universal Studios","","0","Interactive Menus Scene Selection"
